Topic_ID;Color;Color_category;Topic_name;Topic label (post-clustering);Cluster ID;Cluster name;Top-10_Words
0;#BCAAA4;#A1887F;H-History (0);History;H;Humanities;"work; time; man; history; new; year; make; life; century; write"
1;#66BC6A;#81C884;B-Scientific-theory (1);Scientific-theory;B;Epistemology;"theory; scientific; theoretical; empirical; realism; realist; truth; science; true; claim"
2;#F4B74C;#F4B74C;F-Property (2);Property;F;Explaining;"property; world; object; physical; relation; kind; entity; part; identity; exist"
3;#F7CCBC;#EF8864;G-Particles (3);Particles;G;Physics;"theory; energy; law; particle; electron; atom; physical; physic; chemical; system"
4;#B2DFDB;#53B6AC;A-Formal (4);Formal;A;Language-logic;"set; function; relation; define; definition; structure; order; model; theory; class"
5;#FEFAC4;#FDF176;E-Evolution (5);Evolution;E;Biology-Mind;"selection; population; organism; evolutionary; gene; biological; individual; group; evolution; specie"
6;#A1887F;#A1887F;H-Philosophy (6);Philosophy;H;Humanities;"world; nature; knowledge; concept; experience; kant; sense; thing; idea; reality"
7;#4BA69A;#53B6AC;A-Sentence (7);Sentence;A;Language-logic;"sentence; context; use; say; reference; content; name; true; semantic; speaker"
8;#DCE875;#DCE875;D-Agent-decision (8);Agent-decision;D;Rational-choice;"agent; action; decision; game; choice; act; utility; strategy; moral; preference"
9;#AED681;#AED681;C-Probability (9);Probability;C;Knowledge-foundations;"probability; measure; value; give; chance; case; function; distribution; degree; frequency"
10;#F9D849;#FDF176;E-Perception (10);Perception;E;Biology-Mind;"object; experience; perception; see; color; perceptual; visual; content; red; image"
11;#FDF176;#FDF176;E-Mind (11);Mind;E;Biology-Mind;"behavior; state; mental; action; psychological; human; function; psychology; person; child"
12;#C5E2A5;#AED681;C-Experiment (12);Experiment;C;Knowledge-foundations;"datum; experiment; value; use; test; result; experimental; model; hypothesis; method"
13;#FBE805;#FDF176;E-Neurosciences (13);Neurosciences;E;Biology-Mind;"system; information; process; cognitive; level; mechanism; state; representation; structure; function"
14;#EF8864;#EF8864;G-Quantum (14);Quantum;G;Physics;"time; state; space; quantum; system; theory; particle; physical; field; point"
15;#53B6AC;#53B6AC;A-Mathematical (15);Mathematical;A;Language-logic;"mathematical; mathematics; number; proof; axiom; geometry; theory; object; point; line"
16;#F7CD7F;#F4B74C;F-Explanation (16);Explanation;F;Explaining;"model; explanation; explain; account; explanatory; phenomenon; use; case; system; provide"
17;#80CBC4;#53B6AC;A-Language (17);Language;A;Language-logic;"language; sentence; term; meaning; concept; use; statement; logical; mean; word"
18;#8D6E63;#A1887F;H-Social (18);Social;H;Humanities;"science; scientific; social; research; scientist; philosophy; knowledge; problem; history; practice"
19;#FFDFAC;#F4B74C;F-Causation (19);Causation;F;Explaining;"causal; cause; event; effect; causation; condition; case; variable; time; occur"
20;#DCEDC8;#AED681;C-Confirmation (20);Confirmation;C;Knowledge-foundations;"law; hypothesis; statement; evidence; theory; condition; inductive; problem; confirmation; fact"
21;#81C884;#81C884;B-Knowledge (21);Knowledge;B;Epistemology;"belief; knowledge; epistemic; believe; know; case; evidence; reason; justification; true"
22;#97D8A3;#81C884;B-Arguments (22);Arguments;B;Epistemology;"argument; claim; say; question; make; view; reason; fact; case; point"
23;#439788;#53B6AC;A-Truth (23);Truth;A;Language-logic;"logic; truth; true; proposition; sentence; logical; formula; follow; rule; world"
24;#D8CCC7;#A1887F;H-Classics (24);Classics;H;Humanities;"motion; body; force; newton; law; galileo; earth; move; light; time"
